protein,folder
1034665364,Folder03
1034670322,Folder03
1034670687,Folder03
1034670714,Folder03
1034670895,Folder03
1034671540,Folder03
1034671576,Folder03
1034671695,Folder03
1034671743,Folder03
1034673372,Folder03
1034673555,Folder03
1034673708,Folder03
1034673714,Folder03
1034673817,Folder03
1034673893,Folder03
1034673928,Folder03
1034674820,Folder03
1034674870,Folder03
1034675132,Folder03
1034675580,Folder03
1034675602,Folder03
1034676440,Folder03
1035664366,Folder03
1036222231,Folder03
1039151431,Folder03
1040735422,Folder03
1041817940,Folder03
1042082,Folder03
1043631282,Folder03
10438473,Folder03
10440347,Folder03
10440351,Folder03
10440371,Folder03
10440488,Folder03
10440500,Folder03
10443224,Folder03
1045860933,Folder03
1045961268,Folder03
1050193296,Folder03
10503935,Folder03
1050767373,Folder03
1050811775,Folder03
1050811779,Folder03
105131,Folder03
10518338,Folder03
1052786388,Folder03
1057500953,Folder03
1060099124,Folder03
1060099377,Folder03
106049292,Folder03
1060909,Folder03
1061214220,Folder03
1062593974,Folder03
1062594114,Folder03
1063825016,Folder03
1064244183,Folder03
10643592,Folder03
1064788235,Folder03
1066537927,Folder03
1066546270,Folder03
106731,Folder03
1067605019,Folder03
106879204,Folder03
106879210,Folder03
1069415326,Folder03
10719650,Folder03
10719883,Folder03
1073522662,Folder03
10799166,Folder03
10801199,Folder03
10801586,Folder03
10835047,Folder03
10835069,Folder03
10835073,Folder03
10835109,Folder03
10835256,Folder03
1083917512,Folder03
10862703,Folder03
10863889,Folder03
10863899,Folder03
10863935,Folder03
10864047,Folder03
108796056,Folder03
10880136,Folder03
10880453,Folder03
1089747674,Folder03
1089747699,Folder03
1091269840,Folder03
1092018475,Folder03
109240546,Folder03
109240550,Folder03
1093492,Folder03
10944290,Folder03
10944884,Folder03
10944927,Folder03
10944955,Folder03
109658596,Folder03
109658616,Folder03
109715831,Folder03
109731754,Folder03
1099511040,Folder03
1100110,Folder03
1101217A,Folder03
1101228B,Folder03
110224449,Folder03
110227601,Folder03
110347463,Folder03
11034811,Folder03
11034821,Folder03
110349767,Folder03
1103585,Folder03
11038637,Folder03
110431354,Folder03
1105030046,Folder03
1105030247,Folder03
11055421,Folder03
11055992,Folder03
11056044,Folder03
11056054,Folder03
11056063,Folder03
110611176,Folder03
11061449,Folder03
110618224,Folder03
1106184A,Folder03
11068135,Folder03
1107687,Folder03
1107696,Folder03
1108183A,Folder03
110825980,Folder03
1109236A,Folder03
11095441,Folder03
1109782,Folder03
1109792,Folder03
111118992,Folder03
11125348,Folder03
11125350,Folder03
1112917086,Folder03
11136626,Folder03
11138093,Folder03
11139663,Folder03
11141869,Folder04
11141871,Folder04
11141881,Folder04
11141903,Folder04
1114629620,Folder04
1117915,Folder04
111955139,Folder04
11225609,Folder04
112421013,Folder04
112421134,Folder04
11244871,Folder04
1125135216,Folder04
1126305177,Folder04
1126724272,Folder04
112734863,Folder04
11277468,Folder04
112807182,Folder04
1129371446,Folder04
1130413432,Folder04
11321591,Folder04
11321597,Folder04
11321601,Folder04
11342664,Folder04
11342666,Folder04
11345492,Folder04
1134928668,Folder04
1134928691,Folder04
1135567441,Folder04
1136293,Folder04
1136418,Folder04
1137643813,Folder04
11386147,Folder04
114062,Folder04
11415048,Folder04
1143643546,Folder04
1143708550,Folder04
1145587748,Folder04
1146187866,Folder04
1147813,Folder04
1148299659,Folder04
1149123006,Folder04
1149123047,Folder04
1149513,Folder04
11497043,Folder04
115206,Folder04
11526793,Folder04
11527781,Folder04
115298668,Folder04
115430235,Folder04
11545757,Folder04
11545761,Folder04
11545787,Folder04
11545839,Folder04
11545920,Folder04
1154884864,Folder04
115496169,Folder04
115527469,Folder04
115528722,Folder04
115529039,Folder04
11559925,Folder04
115648022,Folder04
1158980019,Folder04
115940704,Folder04
1159610515,Folder04
1159610611,Folder04
1159610635,Folder04
1159611371,Folder04
116008152,Folder04
116014334,Folder04
116014339,Folder04
1160927,Folder04
116174738,Folder04
116256344,Folder04
116256354,Folder04
116256485,Folder04
116283505,Folder04
116283809,Folder04
116283831,Folder04
1162922,Folder04
11641289,Folder04
116496755,Folder04
116517317,Folder04
1166212133,Folder04
116642895,Folder04
116734685,Folder04
116734710,Folder04
116734717,Folder04
1167803441,Folder04
1168023819,Folder04
116812593,Folder04
116875767,Folder04
1169100811,Folder04
1169292915,Folder04
11693132,Folder04
1171341682,Folder04
1172384978,Folder04
117320543,Folder04
1174098847,Folder04
1174205,Folder04
117553615,Folder04
117558792,Folder04
1177438,Folder04
117938297,Folder04
117956409,Folder04
117968621,Folder04
1179910155,Folder04
118026942,Folder04
118142820,Folder04
118197279,Folder04
1182924770,Folder04
118344456,Folder04
118402584,Folder04
118572606,Folder04
118572690,Folder04
1187443502,Folder04
1187443700,Folder04
118763704,Folder04
1189398250,Folder04
1189438340,Folder04
1189690235,Folder04
1191017756,Folder04
1191704909,Folder04
119220564,Folder04
11935049,Folder04
119395716,Folder04
119567820,Folder04
119568077,Folder04
119568131,Folder04
119568814,Folder04
119569421,Folder04
119569682,Folder04
119569943,Folder04
119569944,Folder04
119570025,Folder04
119570083,Folder04
119570290,Folder04
119570358,Folder04
119570597,Folder04
119570828,Folder04
119571503,Folder04
119571509,Folder04
119571972,Folder04
119572141,Folder04
119572492,Folder04
119572566,Folder04
119572631,Folder04
119573123,Folder04
119573900,Folder04
119573939,Folder04
119574075,Folder04
119574400,Folder04
119574668,Folder04
119574685,Folder04
119574686,Folder04
119574965,Folder04
119575044,Folder04
119575260,Folder04
119575263,Folder04
119575945,Folder04
119576742,Folder04
119577388,Folder04
119577395,Folder04
119577406,Folder04
119577904,Folder04
119578457,Folder04
119578755,Folder04
119578902,Folder04
119578927,Folder04
119579189,Folder04
119579570,Folder04
119580627,Folder04
119580708,Folder04
119580832,Folder04
119581047,Folder04
119581402,Folder04
119581446,Folder04
119581554,Folder04
119581792,Folder04
119582065,Folder04
119582271,Folder04
119582334,Folder04
119582458,Folder04
119583048,Folder04
119583115,Folder04
119583336,Folder04
119583447,Folder04
119583986,Folder04
119584644,Folder04
119585092,Folder04
119585125,Folder04
119585346,Folder04
119585423,Folder04
119585788,Folder04
119585807,Folder04
119586026,Folder04
119586138,Folder04
119586148,Folder04
119586343,Folder04
119586501,Folder04
119586540,Folder04
119587140,Folder04
119588044,Folder04
119588191,Folder04
119588293,Folder04
119588302,Folder04
119589501,Folder04
119589534,Folder04
119589699,Folder04
119589986,Folder04
119590174,Folder04
119590310,Folder04
119590357,Folder04
119590372,Folder04
119590717,Folder04
119591300,Folder04
119591352,Folder04
119591492,Folder04
119591832,Folder04
119591862,Folder04
119591944,Folder04
119591978,Folder04
119592135,Folder04
119592163,Folder04
119592481,Folder04
119592507,Folder04
119592795,Folder04
119592817,Folder04
119592828,Folder04
119592985,Folder04
119593916,Folder04
119593992,Folder04
119594300,Folder04
119594352,Folder04
119594478,Folder04
119594587,Folder04
119594774,Folder04
119594839,Folder04
119594967,Folder04
119595032,Folder04
119595828,Folder04
119595844,Folder04
119597612,Folder04
119597890,Folder04
119598792,Folder04
119598872,Folder04
119599130,Folder04
119599174,Folder04
119599682,Folder04
119599697,Folder04
119599929,Folder04
119600209,Folder05
119600666,Folder05
119600971,Folder05
119601513,Folder05
119601857,Folder05
119602170,Folder05
119602896,Folder05
119602921,Folder05
119602944,Folder05
119603449,Folder05
119604261,Folder05
119604581,Folder05
119604695,Folder05
119604861,Folder05
119605055,Folder05
119605209,Folder05
119605534,Folder05
119605560,Folder05
119605696,Folder05
119605991,Folder05
119605996,Folder05
119606098,Folder05
119606565,Folder05
119606583,Folder05
119606648,Folder05
119606749,Folder05
119607282,Folder05
119607605,Folder05
119607697,Folder05
119608321,Folder05
119608337,Folder05
119608556,Folder05
119609075,Folder05
119609575,Folder05
119609744,Folder05
119610330,Folder05
119610412,Folder05
119610837,Folder05
119611312,Folder05
119611432,Folder05
119611495,Folder05
119611607,Folder05
119611904,Folder05
119612003,Folder05
119612106,Folder05
119612600,Folder05
119612814,Folder05
119612872,Folder05
119613465,Folder05
119613501,Folder05
119613643,Folder05
119613788,Folder05
119613889,Folder05
119614231,Folder05
119615203,Folder05
119615515,Folder05
119615516,Folder05
119615548,Folder05
119615747,Folder05
119615923,Folder05
119615945,Folder05
119615954,Folder05
119616444,Folder05
119617173,Folder05
119617186,Folder05
119617318,Folder05
119617848,Folder05
119617869,Folder05
119618129,Folder05
119618132,Folder05
119618333,Folder05
119618371,Folder05
119618376,Folder05
119618435,Folder05
119618578,Folder05
119618694,Folder05
119618696,Folder05
119618855,Folder05
119618973,Folder05
119619229,Folder05
119619346,Folder05
119619451,Folder05
119619489,Folder05
119619935,Folder05
119620075,Folder05
119620088,Folder05
119620278,Folder05
119621073,Folder05
119621268,Folder05
119622299,Folder05
119622300,Folder05
119622504,Folder05
119622527,Folder05
119622536,Folder05
119622747,Folder05
119622823,Folder05
119623005,Folder05
119623229,Folder05
119623495,Folder05
119623520,Folder05
119624142,Folder05
119624582,Folder05
119624740,Folder05
119625121,Folder05
119625197,Folder05
119625638,Folder05
119625642,Folder05
119625643,Folder05
119625644,Folder05
119625843,Folder05
119625987,Folder05
119626226,Folder05
119626999,Folder05
119627015,Folder05
119627685,Folder05
119628157,Folder05
119628501,Folder05
119628523,Folder05
119629366,Folder05
119629506,Folder05
119629659,Folder05
119629725,Folder05
119629829,Folder05
119629981,Folder05
119629982,Folder05
119630038,Folder05
119630939,Folder05
119631031,Folder05
119631240,Folder05
119631241,Folder05
119631536,Folder05
119632086,Folder05
11967991,Folder05
11968148,Folder05
119720,Folder05
1198817774,Folder05
11990203,Folder05
11990420,Folder05
11991481,Folder05
11991660,Folder05
119943086,Folder05
119943098,Folder05
119964718,Folder05
1199928,Folder05
1200165013,Folder05
12002216,Folder05
1201280913,Folder05
1202270A,Folder05
1202365A,Folder05
1204712531,Folder05
12053591,Folder05
12053793,Folder05
1205914872,Folder05
12060937,Folder05
1206271392,Folder05
120660230,Folder05
1206876239,Folder05
1206991D,Folder05
12081909,Folder05
1208230A,Folder05
1208320A,Folder05
120952829,Folder05
1209856990,Folder05
1209856998,Folder05
1211338A,Folder05
121280,Folder05
1214581277,Folder05
1215341806,Folder05
1215341817,Folder05
1216475,Folder05
121934080,Folder05
121934092,Folder05
121940851,Folder05
121946258,Folder05
1220515990,Folder05
1220515992,Folder05
1220516026,Folder05
12225004,Folder05
12232377,Folder05
12232397,Folder05
12232589,Folder05
12249015,Folder05
122692281,Folder05
1227367050,Folder05
1227367082,Folder05
12274862,Folder05
1227523177,Folder05
12276180,Folder05
1228035,Folder05
122937233,Folder05
122937283,Folder05
122937319,Folder05
122939204,Folder05
1229749473,Folder05
123120,Folder05
1231293849,Folder05
1232077,Folder05
1233054980,Folder05
12330685,Folder05
1233272221,Folder05
1233272223,Folder05
1233272227,Folder05
1234154410,Folder05
1234154422,Folder05
1235670,Folder05
1235722,Folder05
1236589326,Folder05
1236720,Folder05
123702038,Folder05
1237938032,Folder05
1237938189,Folder05
1237938309,Folder05
12382775,Folder05
1238280178,Folder05
12383066,Folder05
1239290943,Folder05
12407081,Folder05
12407441,Folder05
124107614,Folder05
1242013517,Folder05
124297093,Folder05
1243057539,Folder05
1243057630,Folder05
124375906,Folder05
124430752,Folder05
124504252,Folder05
124504523,Folder05
124504635,Folder05
124504759,Folder05
124504769,Folder05
124504821,Folder05
124504889,Folder05
124504919,Folder05
124504927,Folder05
124504973,Folder05
124505007,Folder05
124505027,Folder05
124505093,Folder05
124505151,Folder05
124505159,Folder05
124505219,Folder05
124505261,Folder05
124505267,Folder05
124505303,Folder05
124505311,Folder05
124505325,Folder05
124505377,Folder05
124505387,Folder05
124505405,Folder05
124505449,Folder05
124505477,Folder06
124505545,Folder06
124505659,Folder06
124505699,Folder06
124505749,Folder06
124505901,Folder06
124505929,Folder06
124505933,Folder06
124506239,Folder06
124506247,Folder06
124506255,Folder06
124506307,Folder06
124506311,Folder06
124506347,Folder06
124506389,Folder06
124506415,Folder06
124506447,Folder06
124506449,Folder06
124506525,Folder06
124506531,Folder06
124506535,Folder06
124506543,Folder06
124506581,Folder06
124506797,Folder06
124506897,Folder06
124507036,Folder06
124507147,Folder06
124507217,Folder06
124511650,Folder06
124511708,Folder06
124511718,Folder06
124511760,Folder06
124511788,Folder06
124511794,Folder06
124511838,Folder06
124511896,Folder06
124512030,Folder06
124512038,Folder06
124512040,Folder06
124512230,Folder06
124512258,Folder06
124512262,Folder06
124512286,Folder06
124512374,Folder06
124512490,Folder06
124512526,Folder06
124512538,Folder06
124512582,Folder06
124512666,Folder06
124512788,Folder06
124512800,Folder06
124512818,Folder06
124512840,Folder06
124512842,Folder06
124512862,Folder06
124512884,Folder06
124513066,Folder06
124513100,Folder06
124513126,Folder06
124513174,Folder06
124513182,Folder06
124513206,Folder06
124513254,Folder06
124513274,Folder06
124513318,Folder06
124513326,Folder06
124513344,Folder06
124513450,Folder06
124513464,Folder06
124513538,Folder06
124513586,Folder06
124513604,Folder06
124513672,Folder06
124513704,Folder06
124513864,Folder06
124513926,Folder06
124800697,Folder06
124800995,Folder06
124801059,Folder06
124801080,Folder06
124801204,Folder06
124801292,Folder06
124801302,Folder06
124801310,Folder06
124802126,Folder06
124802266,Folder06
124802515,Folder06
124802575,Folder06
124802893,Folder06
124802897,Folder06
124802901,Folder06
124802919,Folder06
124802925,Folder06
124802985,Folder06
124803007,Folder06
124803377,Folder06
124803460,Folder06
124803531,Folder06
124803966,Folder06
124804079,Folder06
124804085,Folder06
124804106,Folder06
124804163,Folder06
124804296,Folder06
124804314,Folder06
124804412,Folder06
124804469,Folder06
124804478,Folder06
124804529,Folder06
124804543,Folder06
124804624,Folder06
124804631,Folder06
124804685,Folder06
124804755,Folder06
124804913,Folder06
124805331,Folder06
124805343,Folder06
124805736,Folder06
124805948,Folder06
124805979,Folder06
124806029,Folder06
124806077,Folder06
124806110,Folder06
124806238,Folder06
124806463,Folder06
124806489,Folder06
124806515,Folder06
124806575,Folder06
124806619,Folder06
124806698,Folder06
124806828,Folder06
124807012,Folder06
124807098,Folder06
124808066,Folder06
124808154,Folder06
124808412,Folder06
124808513,Folder06
124808542,Folder06
124808549,Folder06
124808866,Folder06
124809112,Folder06
124809253,Folder06
124809259,Folder06
124809320,Folder06
124809435,Folder06
124809472,Folder06
124809485,Folder06
124809506,Folder06
124809561,Folder06
124809568,Folder06
124809688,Folder06
124809744,Folder06
124809747,Folder06
124809797,Folder06
124809891,Folder06
124810339,Folder06
124810474,Folder06
1251775572,Folder06
125346192,Folder06
1253559857,Folder06
1256013,Folder06
1256169,Folder06
126032348,Folder06
126131102,Folder06
12620190,Folder06
126362955,Folder06
12643361,Folder06
12643949,Folder06
126507451,Folder06
12652741,Folder06
12653005,Folder06
12654321,Folder06
12654587,Folder06
12654675,Folder06
12655133,Folder06
12666531,Folder06
12669909,Folder06
1268088755,Folder06
1268088825,Folder06
1269192715,Folder06
12697903,Folder06
12697907,Folder06
12697935,Folder06
12697951,Folder06
12697955,Folder06
12698011,Folder06
12698025,Folder06
12698055,Folder06
12698057,Folder06
12698075,Folder06
12698087,Folder06
12751319,Folder06
1276317824,Folder06
1276428,Folder06
127796373,Folder06
127799579,Folder06
127801199,Folder06
1279507774,Folder06
1279531111,Folder06
1279652550,Folder06
12803239,Folder06
12803955,Folder06
12804481,Folder06
128168937,Folder06
1284804578,Folder06
1285895354,Folder06
129150,Folder06
129353,Folder06
12963885,Folder06
1296664,Folder06
13027606,Folder06
1304105,Folder06
1304125,Folder06
1304302A,Folder06
1307197A,Folder06
1309256A,Folder06
13111748,Folder06
1311302A,Folder06
1312232A,Folder06
13122608,Folder06
13129000,Folder06
13129060,Folder06
